City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,5.88,98,100,9.41,TF,1738716904
1,hermanus,-34.4187,19.2345,19.51,77,66,3.56,ZA,1738716905
2,grytviken,-54.2811,-36.5092,3.31,86,53,9.59,GS,1738716906
3,chonchi,-42.6128,-73.8092,13.95,81,0,0.39,CL,1738716907
4,klyuchi,52.2667,79.1667,-9.02,98,98,2.91,RU,1738716908
5,santa ana,33.7456,-117.8678,17.5,68,20,6.69,US,1738716909
6,kayangel,8.0823,134.7173,28.0,78,100,8.83,PW,1738716910
7,batarasa,8.6617,117.6222,27.23,72,99,3.11,PH,1738716911
8,bethel,41.3712,-73.414,-0.24,57,8,1.79,US,1738716913
9,camana,-16.6228,-72.7111,23.12,84,68,2.31,PE,1738716914
10,lorengau,-2.0226,147.2712,30.03,67,99,3.59,PG,1738716915
11,port alfred,-33.5906,26.891,22.88,96,100,1.34,ZA,1738716916
12,constantia,44.1833,28.65,-0.62,69,9,5.22,RO,1738716845
13,nago,26.5881,127.9761,12.02,59,100,4.78,JP,1738716918
14,georgetown,5.4112,100.3354,26.96,72,20,3.6,MY,1738716641
15,severo-vostotchnyi bank,39.4112,49.2479,8.99,85,88,6.26,AZ,1738716920
16,ilulissat,69.2167,-51.1,-18.99,65,100,4.12,GL,1738716921
17,igbara-odo,7.5025,5.0626,23.42,85,79,1.28,NG,1738716922
18,george town,5.4112,100.3354,26.96,72,20,3.6,MY,1738716919
19,benemerito de las americas,16.5167,-90.6439,21.68,94,96,1.23,MX,1738716924
20,yellowknife,62.456,-114.3525,-11.44,92,75,4.47,CA,1738716927
21,usinsk,65.9939,57.5281,-9.74,92,99,7.59,RU,1738716928
22,port elizabeth,-33.918,25.5701,22.4,94,100,1.79,ZA,1738716929
23,albany,42.6001,-73.9662,-5.12,75,47,4.62,US,1738716930
24,mombetsu,44.3525,143.3525,-5.99,86,20,1.03,JP,1738716904
25,ola,59.5833,151.2833,-22.87,78,8,2.8,RU,1738716932
26,adamstown,-25.066,-130.1015,25.2,77,5,5.5,PN,1738716933
27,qamdo,31.1667,97.2333,-2.19,51,10,1.87,CN,1738716934
28,don sak,9.3168,99.6918,24.63,80,87,1.95,TH,1738716935
29,papatowai,-46.5619,169.4708,18.62,54,100,2.28,NZ,1738716936
30,blackmans bay,-43.0167,147.3167,19.18,44,7,3.16,AU,1738716937
31,iqaluit,63.7506,-68.5145,-30.15,69,20,1.54,CA,1738716678
32,galliano,29.4422,-90.2992,20.0,83,0,0.0,US,1738716940
33,coronel dorrego,-38.7187,-61.2873,17.12,53,0,6.83,AR,1738716941
34,edinburgh of the seven seas,-37.0676,-12.3116,16.22,74,29,5.66,SH,1738716942
35,ribeira grande,38.5167,-28.7,18.21,96,100,7.6,PT,1738716666
36,calca,-13.3333,-71.95,11.64,88,100,2.36,PE,1738716944
37,west island,-12.1568,96.8225,28.99,89,20,3.6,CC,1738716945
38,ust-nera,64.5667,143.2,-38.27,94,51,1.1,RU,1738716946
39,puerto natales,-51.7236,-72.4875,6.28,91,75,2.1,CL,1738716947
40,esfarayen,37.0765,57.5101,1.38,45,0,1.15,IR,1738716948
41,hasaki,35.7333,140.8333,5.22,30,0,5.99,JP,1738716949
42,tolanaro,-25.0319,46.9987,23.65,92,100,3.88,MG,1738716950
43,invercargill,-46.4,168.35,23.34,55,100,1.79,NZ,1738716643
44,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.0,PT,1738716952
45,santa croce camerina,36.8289,14.5268,8.82,93,50,2.06,IT,1738716954
46,anandnagar,27.1,83.2833,14.42,47,10,2.14,IN,1738716956
47,altamont,42.2068,-121.7372,-0.01,98,100,5.14,US,1738716957
48,olonkinbyen,70.9221,-8.7187,-1.75,79,88,8.81,SJ,1738716958
49,tiksi,71.6872,128.8694,-26.49,91,100,2.82,RU,1738716959
50,stanley,54.868,-1.6985,4.01,84,0,4.12,GB,1738716786
51,kalemie,-5.9475,29.1947,20.91,83,100,2.13,CD,1738716961
52,hawaiian paradise park,19.5933,-154.9731,25.73,69,0,4.63,US,1738716402
53,aasiaat,68.7098,-52.8699,-22.28,96,100,1.91,GL,1738716963
54,waitangi,-43.9535,-176.5597,14.34,77,81,3.58,NZ,1738716964
55,kerikeri,-35.2268,173.9474,25.22,50,22,3.49,NZ,1738716965
56,murun-kuren,49.6342,100.1625,-18.1,74,6,7.8,MN,1738716966
57,bredasdorp,-34.5322,20.0403,19.14,71,25,3.37,ZA,1738716967
58,st. john's,47.5649,-52.7093,-2.24,80,20,11.83,CA,1738716855
59,puerto deseado,-47.7503,-65.8938,13.69,65,87,10.31,AR,1738716969
60,carlsbad,33.1581,-117.3506,16.72,76,0,4.63,US,1738716853
61,margaret river,-33.95,115.0667,23.01,48,0,1.86,AU,1738716384
62,udachny,66.4167,112.4,-34.18,92,100,2.21,RU,1738716399
63,whitehorse,60.7161,-135.0538,-14.39,81,75,1.03,CA,1738716529
64,mednogorsk,51.4128,57.595,-8.69,78,100,8.95,RU,1738716975
65,bilibino,68.0546,166.4372,-42.33,96,45,1.47,RU,1738716578
66,bima,-8.4667,118.7167,28.7,81,45,1.11,ID,1738716977
